,town,lat,lon,coordinates
0,ANG MO KIO,1.369115,103.845434,"[1.369115, 103.845434]"
1,BEDOK,1.323604,103.927341,"[1.323604, 103.927341]"
2,BISHAN,1.352585,103.835212,"[1.352585, 103.835212]"
3,BUKIT BATOK,1.359029,103.76368,"[1.359029, 103.76368]"
4,BUKIT MERAH,1.281905,103.823918,"[1.281905, 103.823918]"
5,BUKIT PANJANG,1.377414,103.77195,"[1.377414, 103.77195]"
6,BUKIT TIMAH,1.329411,103.802078,"[1.329411, 103.802078]"
7,CENTRAL AREA,1.284484,103.851345,"[1.284484, 103.851345]"
8,CHOA CHU KANG,1.38398,103.746961,"[1.38398, 103.746961]"
9,CLEMENTI,1.316181,103.764938,"[1.316181, 103.764938]"
10,GEYLANG,1.320054,103.891775,"[1.320054, 103.891775]"
11,HOUGANG,1.361218,103.886253,"[1.361218, 103.886253]"
12,JURONG EAST,1.332857,103.743552,"[1.332857, 103.743552]"
13,JURONG WEST,1.34039,103.708988,"[1.34039, 103.708988]"
14,KALLANG,1.31,103.8651,"[1.31, 103.8651]"
15,MARINE PARADE,1.301969,103.897082,"[1.301969, 103.897082]"
16,PASIR RIS,1.372094,103.947373,"[1.372094, 103.947373]"
17,PUNGGOL,1.398446,103.907205,"[1.398446, 103.907205]"
18,QUEENSTOWN,1.294166,103.786127,"[1.294166, 103.786127]"
19,SEMBAWANG,1.449111,103.818495,"[1.449111, 103.818495]"
20,SENGKANG,1.386812,103.891443,"[1.386812, 103.891443]"
21,SERANGOON,1.355357,103.867871,"[1.355357, 103.867871]"
22,TAMPINES,1.349591,103.956788,"[1.349591, 103.956788]"
23,TOA PAYOH,1.334304,103.856327,"[1.334304, 103.856327]"
24,WHAMPOA,1.324513,103.857225,"[1.324513, 103.857225]"
25,WOODLANDS,1.438192,103.78896,"[1.438192, 103.78896]"
26,YISHUN,1.430368,103.835363,"[1.430368, 103.835363]"
27,DOWNTOWN CORE,1.286667,103.853611,"[1.286667, 103.853611]"
28,MARINA EAST,1.2913,103.8709,"[1.2913, 103.8709]"
29,MARINA SOUTH,1.2793,103.8702,"[1.2793, 103.8702]"
30,MUSEUM,1.296611,103.8485,"[1.296611, 103.8485]"
31,NEWTON,1.307167,103.837,"[1.307167, 103.837]"
32,NOVENA,1.320858,103.842431,"[1.320858, 103.842431]"
33,ORCHARD,1.304833,103.831833,"[1.304833, 103.831833]"
34,OUTRAM,1.284889,103.843889,"[1.284889, 103.843889]"
35,RIVER VALLEY,1.2959,103.8361,"[1.2959, 103.8361]"
36,ROCHOR,1.305111,103.850889,"[1.305111, 103.850889]"
37,CLARKE QUAY,1.2906,103.8465,"[1.2906, 103.8465]"
38,STRAITS VIEW,1.2787,103.8506,"[1.2787, 103.8506]"
39,TANGLIN,1.3069,103.8189,"[1.3069, 103.8189]"
40,CHANGI,1.345,103.983194,"[1.345, 103.983194]"
41,PAYA LEBAR,1.3533,103.8937,"[1.3533, 103.8937]"
42,CENTRAL WATER CATCHMENT,1.366667,103.8,"[1.366667, 103.8]"
43,LIM CHU KANG,1.416667,103.7,"[1.416667, 103.7]"
44,MANDAI,1.411667,103.786389,"[1.411667, 103.786389]"
45,BOON LAY,1.3143,103.7093,"[1.3143, 103.7093]"
46,PIONEER,1.3376,103.6969,"[1.3376, 103.6969]"
47,TENGAH,1.3555,103.7308,"[1.3555, 103.7308]"
48,TUAS,1.316667,103.65,"[1.316667, 103.65]"
49,HARBOURFRONT,1.2652,103.8201,"[1.2652, 103.8201]"
