town,lat,lon,coordinates
0,ANG MO KIO,1.369115,103.845434,"[1.369115, 103.845434]"
1,BEDOK,1.323604,103.927341,"[1.323604, 103.927341]"
2,BISHAN,1.352585,103.835212,"[1.352585, 103.835212]"
3,BUKIT BATOK,1.359029,103.76368,"[1.359029, 103.76368]"
4,BUKIT MERAH,1.281905,103.823918,"[1.281905, 103.823918]"
5,BUKIT PANJANG,1.377414,103.77195,"[1.377414, 103.77195]"
6,BUKIT TIMAH,1.329411,103.802078,"[1.329411, 103.802078]"
7,CENTRAL AREA,1.284484,103.851345,"[1.284484, 103.851345]"
8,CHOA CHU KANG,1.38398,103.746961,"[1.38398, 103.746961]"
9,CLEMENTI,1.316181,103.764938,"[1.316181, 103.764938]"
10,GEYLANG,1.320054,103.891775,"[1.320054, 103.891775]"
11,HOUGANG,1.361218,103.886253,"[1.361218, 103.886253]"
12,JURONG EAST,1.332857,103.743552,"[1.332857, 103.743552]"
13,JURONG WEST,1.34039,103.708988,"[1.34039, 103.708988]"
14,KALLANG/WHAMPOA,1.324513,103.857225,"[1.324513, 103.857225]"
15,MARINE PARADE,1.301969,103.897082,"[1.301969, 103.897082]"
16,PASIR RIS,1.372094,103.947373,"[1.372094, 103.947373]"
17,PUNGGOL,1.398446,103.907205,"[1.398446, 103.907205]"
18,QUEENSTOWN,1.294166,103.786127,"[1.294166, 103.786127]"
19,SEMBAWANG,1.449111,103.818495,"[1.449111, 103.818495]"
20,SENGKANG,1.386812,103.891443,"[1.386812, 103.891443]"
21,SERANGOON,1.355357,103.867871,"[1.355357, 103.867871]"
22,TAMPINES,1.349591,103.956788,"[1.349591, 103.956788]"
23,TOA PAYOH,1.334304,103.856327,"[1.334304, 103.856327]"
24,WOODLANDS,1.438192,103.78896,"[1.438192, 103.78896]"
25,YISHUN,1.430368,103.835363,"[1.430368, 103.835363]"
